order_id,product,category,city,quantity,unit_price,order_date
1,Laptop,Electronics,Fes,1,7500,2026-08-01
2,Mouse,Accessories,Rabat,2,150,2026-08-01
3,Keyboard,Accessories,Fes,1,400,2026-08-02
4,Power_Bank,Accessories,Tangier,2,800,2026-08-03
5,Monitor,Electronics,Casablanca,1,2200,2026-08-03
6,Headphones,Accessories,Marrakesh,1,650,2026-08-04
7,Webcam,Electronics,Rabat,2,500,2026-08-04
8,USB_Cable,Accessories,Fes,3,90,2026-08-05
9,Printer,Electronics,Tangier,1,1800,2026-08-05
10,Desk_Chair,Furniture,Casablanca,1,1600,2026-08-06
11,Tablet,Electronics,Marrakesh,1,3200,2026-08-06
12,Phone_Case,Accessories,Rabat,2,120,2026-08-07
13,Smartphone,Electronics,Fes,1,4800,2026-08-07
14,External_Drive,Storage,Tangier,1,950,2026-08-08
15,Office_Desk,Furniture,Casablanca,1,2400,2026-08-08
16,Router,Networking,Marrakesh,1,700,2026-08-09
17,SSD,Storage,Rabat,2,1100,2026-08-09
18,Microphone,Electronics,Fes,1,850,2026-08-10
19,Backpack,Accessories,Tangier,2,300,2026-08-10
20,Smartwatch,Electronics,Casablanca,1,1900,2026-08-11
21,HDMI_Cable,Accessories,Marrakesh,3,140,2026-08-11
22,Graphics_Tablet,Electronics,Rabat,1,2700,2026-08-12
23,USB_Hub,Accessories,Fes,2,260,2026-08-12
24,Projector,Electronics,Tangier,1,3600,2026-08-13
25,Bookshelf,Furniture,Casablanca,1,1300,2026-08-13
26,Wireless_Keyboard,Accessories,Marrakesh,1,550,2026-08-14
27,Power_Strip,Accessories,Rabat,2,180,2026-08-14
28,Camera,Electronics,Fes,1,5200,2026-08-15
29,Memory_Card,Storage,Tangier,3,220,2026-08-15
30,Standing_Desk,Furniture,Casablanca,1,2900,2026-08-16
31,Smart_Speaker,Electronics,Marrakesh,1,900,2026-08-16
32,Screen_Protector,Accessories,Rabat,4,70,2026-08-17
33,Gaming_Console,Electronics,Fes,1,6200,2026-08-17
34,Laptop_Stand,Furniture,Tangier,2,450,2026-08-18
35,Bluetooth_Speaker,Electronics,Casablanca,1,780,2026-08-18
36,Wireless_Mouse,Accessories,Marrakesh,2,240,2026-08-19
37,Ink_Cartridge,Accessories,Rabat,2,350,2026-08-19
38,Smart_TV,Electronics,Fes,1,7000,2026-08-20
39,External_Keyboard,Accessories,Tangier,1,480,2026-08-20
40,Air_Purifier,Home,Casablanca,1,2100,2026-08-21
41,Electric_Kettle,Home,Marrakesh,2,320,2026-08-21
42,Security_Camera,Electronics,Rabat,1,1250,2026-08-22
43,Charging_Station,Accessories,Fes,1,600,2026-08-22
44,Mini_Projector,Electronics,Tangier,1,2300,2026-08-23
