order_id,product,category,city,quantity,unit_price,order_date,total_price
1,Laptop,Electronics,Fes,1,7500,2026-08-01,7500
2,Mouse,Accessories,Rabat,2,150,2026-08-01,300
3,Keyboard,Accessories,Fes,1,400,2026-08-02,400
4,Power_Bank,Accessories,Tangier,2,800,2026-08-03,1600
5,Monitor,Electronics,Casablanca,1,2200,2026-08-03,2200
6,Headphones,Accessories,Marrakesh,1,650,2026-08-04,650
7,Webcam,Electronics,Rabat,2,500,2026-08-04,1000
8,USB_Cable,Accessories,Fes,3,90,2026-08-05,270
9,Printer,Electronics,Tangier,1,1800,2026-08-05,1800
10,Desk_Chair,Furniture,Casablanca,1,1600,2026-08-06,1600
11,Tablet,Electronics,Marrakesh,1,3200,2026-08-06,3200
12,Phone_Case,Accessories,Rabat,2,120,2026-08-07,240
13,Smartphone,Electronics,Fes,1,4800,2026-08-07,4800
14,External_Drive,Storage,Tangier,1,950,2026-08-08,950
15,Office_Desk,Furniture,Casablanca,1,2400,2026-08-08,2400
16,Router,Networking,Marrakesh,1,700,2026-08-09,700
17,SSD,Storage,Rabat,2,1100,2026-08-09,2200
18,Microphone,Electronics,Fes,1,850,2026-08-10,850
19,Backpack,Accessories,Tangier,2,300,2026-08-10,600
20,Smartwatch,Electronics,Casablanca,1,1900,2026-08-11,1900
21,HDMI_Cable,Accessories,Marrakesh,3,140,2026-08-11,420
22,Graphics_Tablet,Electronics,Rabat,1,2700,2026-08-12,2700
23,USB_Hub,Accessories,Fes,2,260,2026-08-12,520
24,Projector,Electronics,Tangier,1,3600,2026-08-13,3600
25,Bookshelf,Furniture,Casablanca,1,1300,2026-08-13,1300
26,Wireless_Keyboard,Accessories,Marrakesh,1,550,2026-08-14,550
27,Power_Strip,Accessories,Rabat,2,180,2026-08-14,360
28,Camera,Electronics,Fes,1,5200,2026-08-15,5200
29,Memory_Card,Storage,Tangier,3,220,2026-08-15,660
30,Standing_Desk,Furniture,Casablanca,1,2900,2026-08-16,2900
31,Smart_Speaker,Electronics,Marrakesh,1,900,2026-08-16,900
32,Screen_Protector,Accessories,Rabat,4,70,2026-08-17,280
33,Gaming_Console,Electronics,Fes,1,6200,2026-08-17,6200
34,Laptop_Stand,Furniture,Tangier,2,450,2026-08-18,900
35,Bluetooth_Speaker,Electronics,Casablanca,1,780,2026-08-18,780
36,Wireless_Mouse,Accessories,Marrakesh,2,240,2026-08-19,480
37,Ink_Cartridge,Accessories,Rabat,2,350,2026-08-19,700
38,Smart_TV,Electronics,Fes,1,7000,2026-08-20,7000
39,External_Keyboard,Accessories,Tangier,1,480,2026-08-20,480
40,Air_Purifier,Home,Casablanca,1,2100,2026-08-21,2100
41,Electric_Kettle,Home,Marrakesh,2,320,2026-08-21,640
42,Security_Camera,Electronics,Rabat,1,1250,2026-08-22,1250
43,Charging_Station,Accessories,Fes,1,600,2026-08-22,600
44,Mini_Projector,Electronics,Tangier,1,2300,2026-08-23,2300
